"cre_name","cre_line_order"
"Ndnf|L1",1
"Htr3a|All",2
"Htr3a|upper",3
"Htr3a|lower",4
"Htr3a|L6b",5
"Vip|All",6
"Vip|upper",7
"Vip|lower",8
"Calb2|All",9
"Calb2|upper",10
"Calb2|lower",11
"Chat|All",12
"Nos1|All",13
"Sst|All",14
"Sst|upper",15
"Sst|lower",16
"Chrna2|All",17
"Chrna2|L6",18
"PvalbD-Slc32a1|All",19
"PvalbF-Gad2|All",20
"PvalbF-Gad2|upper",21
"PvalbF-Gad2|lower",22
"Pvalb|All",23
"Pvalb|upper",24
"Pvalb|lower",25
"Nkx2-1|upper",26
"Nkx2-1|lower",27
"Tac2|All",28
"Gad2|All",29
"Cux2|All",30
"Cux2|L1-2/3",31
"Cux2|L4",32
"Nr5a1|All",33
"Nr5a1|L4",34
"Scnn1a-Tg3|All",35
"Scnn1a-Tg3|L4",36
"Scnn1a-Tg3|lower",37
"Rorb|L4",38
"Rorb|L5",39
"Scnn1a-Tg2|L4",40
"Rbp4|All",41
"Rbp4|L5",42
"Ntsr1|L6a",43
"Ntsr1 Neg|L6a",44
"Ntsr1 Neg|L6",45
"Ctgf|L6b",46
"Slc17a6|All",47
"Scnn1a-Tg2 Neg|L1",48
"Ndnf Neg|L1",49
"Cux2 Neg|L1-2/3",50
"Scnn1a-Tg3 Neg|L4",51
"Rbp4 Neg|L5",52
"Ctgf|All",53
"Ndnf|All",54
